model,asset,evaluated_count,llm_count,seed_count,avg_weight_when_present,max_weight_when_present,avg_candidate_score,best_candidate_score,avg_candidate_sigma_q09
openai/gpt-oss-120b,AKMB,1,0,1,0.17095494303668046,0.17095494303668046,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
openai/gpt-oss-120b,TGKN,1,0,1,0.15417417836363104,0.15417417836363104,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
openai/gpt-oss-120b,JPYRUB_TOM,1,0,1,0.15022504206932946,0.15022504206932946,-0.0855167221189109,-0.0855167221189109,0.117624187472852
openai/gpt-oss-120b,DELI,1,0,1,0.12891826169701262,0.12891826169701262,-0.0467250442375802,-0.0467250442375802,0.1514273974595068
openai/gpt-oss-120b,TBRU,1,0,1,0.112993221801597,0.112993221801597,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
openai/gpt-oss-120b,SOFL,1,0,1,0.0990157537710277,0.0990157537710277,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
openai/gpt-oss-120b,CBOM,1,0,1,0.09623320796696241,0.09623320796696241,-1.0246331156842363,-1.0246331156842363,0.4017021019447021
openai/gpt-oss-120b,LSRG,1,0,1,0.051134368657142375,0.051134368657142375,-1.0246331156842363,-1.0246331156842363,0.4017021019447021
openai/gpt-oss-120b,RTKM,1,0,1,0.04753791006573132,0.04753791006573132,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
openai/gpt-oss-120b,TITR,1,0,1,0.04131448590892062,0.04131448590892062,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
openai/gpt-oss-120b,SBHI,1,0,1,0.03912813344390239,0.03912813344390239,-0.0542881773813929,-0.0542881773813929,0.2256007068037887
openai/gpt-oss-120b,SU26243RMFS4,1,0,1,0.02218703964043806,0.02218703964043806,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
openai/gpt-oss-120b,RUAL,1,0,1,0.02033574317180247,0.02033574317180247,-1.415752671258611,-1.415752671258611,0.4070653368411402
openai/gpt-oss-120b,AFLT,1,0,1,0.016382177739785498,0.016382177739785498,-0.0855167221189109,-0.0855167221189109,0.117624187472852
openai/gpt-oss-120b,SBGB,1,0,1,0.009885476091017132,0.009885476091017132,-0.0855167221189109,-0.0855167221189109,0.117624187472852
openai/gpt-oss-120b,HYDR,1,0,1,0.0014286568634880763,0.0014286568634880763,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
openai/gpt-oss-20b,SBER,125,123,2,0.2516989969716322,0.45,0.013850166531879208,0.0598351718530074,0.17702057104941651
openai/gpt-oss-20b,FXIT,111,109,2,0.24544548668734276,0.5,0.02295000486815852,0.0598351718530074,0.16020275999459527
openai/gpt-oss-20b,FXUS,106,105,1,0.18832742606918854,0.5,0.02230517922298016,0.0598351718530074,0.15535346574434752
openai/gpt-oss-20b,IRAO,103,101,2,0.16204230910200437,0.40404040404040403,0.017652163998914935,0.0507600986575239,0.18431798693503562
openai/gpt-oss-20b,MOEX,83,80,3,0.150408501576116,0.3,0.002566470449128715,0.0502814448426841,0.20448359290593926
openai/gpt-oss-20b,GAZP,28,28,0,0.1255981825736165,0.25,-0.029718777223961428,0.0332825272761374,0.25869077889353237
